time,roll_angle,roll_rate,setpoint,u_cmd,battery_voltage,model,Kp,Ki,Kd
1.299984813,-0.194679737,-42.13124847,0,13.64751339,4.304247856,SPRING,1.5,0,0.37
1.319984913,0.037966028,2.345000029,0,-3.157666922,4.297802925,SPRING,1.5,0,0.37
1.339984894,0.017305667,12.6875,0,-6.953401566,4.299414158,SPRING,1.5,0,0.37
1.359984875,-0.086622164,-8.058750153,0,0.878602803,4.302636623,SPRING,1.5,0,0.37
1.379984856,0.062061869,1.933749914,0,-3.041648149,4.301025391,SPRING,1.5,0,0.37
1.399984837,0.035188559,-0.157499999,0,-2.227576017,4.236572266,SPRING,1.5,0,0.37
1.419984818,0.003554515,-7.734999657,0,0.623550117,4.302636623,SPRING,1.5,0,0.37
1.439984918,0.006111318,-9.651248932,0,1.328727126,4.301025391,SPRING,1.5,0,0.37
1.459984899,0.020339077,-7.166249752,0,0.387935817,4.301025391,SPRING,1.5,0,0.37
1.479984879,0.024472479,-5.608749866,0,-0.194539249,4.301025391,SPRING,1.5,0,0.37
1.49998486,0.023209695,-5.634999752,0,-0.182932615,4.302636623,SPRING,1.5,0,0.37
1.519984841,0.022956479,-5.818749905,0,-0.114565231,4.301025391,SPRING,1.5,0,0.37
1.539984822,0.022368073,-5.958750248,0,-0.061882492,4.302636623,SPRING,1.5,0,0.37
1.559984922,0.021381859,-6.212500095,0,0.033484273,4.302636623,SPRING,1.5,0,0.37
1.579984903,0.02107924,-6.072500229,0,-0.01786175,4.301025391,SPRING,1.5,0,0.37
1.599984884,0.019357834,-6.046249866,0,-0.024992276,4.301025391,SPRING,1.5,0,0.37
1.619984865,0.021040576,-5.801249981,0,-0.11816635,4.301025391,SPRING,1.5,0,0.37
1.639984846,0.02182837,-6.195000172,0,0.026339533,4.301025391,SPRING,1.5,0,0.37
1.659984827,0.021855602,-5.897500038,0,-0.083776362,4.301025391,SPRING,1.5,0,0.37
1.679984808,0.021712132,-5.90625,0,-0.080323674,4.299414158,SPRING,1.5,0,0.37
1.699984908,0.020350611,-6.090000153,0,-0.010293834,4.296191216,SPRING,1.5,0,0.37
1.719984889,0.019259259,-6.028749943,0,-0.031319384,4.297802925,SPRING,1.5,0,0.37
1.73998487,0.019822815,-5.958750248,0,-0.058064606,4.297802925,SPRING,1.5,0,0.37
1.759984851,0.021265227,-5.958750248,0,-0.060228225,4.301025391,SPRING,1.5,0,0.37
1.779984832,0.022006692,-5.976250172,0,-0.05486545,4.301025391,SPRING,1.5,0,0.37
1.799984813,0.021695463,-6.011250019,0,-0.04144866,4.301025391,SPRING,1.5,0,0.37
1.819984913,0.021044107,-6.116250038,0,-0.001621622,4.302636623,SPRING,1.5,0,0.37
1.839984894,0.018984374,-6.125,0,0.004705465,4.302636623,SPRING,1.5,0,0.37
1.859984875,0.017273111,-6.06374979,0,-0.015390218,4.301025391,SPRING,1.5,0,0.37
1.879984856,0.018975951,-5.949999809,0,-0.060031973,4.297802925,SPRING,1.5,0,0.37
1.899984837,0.019279491,-6.002500057,0,-0.041062191,4.302636623,SPRING,1.5,0,0.37
1.919984818,0.019478817,-5.862500191,0,-0.093161128,4.302636623,SPRING,1.5,0,0.37
1.939984918,0.018731598,-6.046249866,0,-0.024052922,4.301025391,SPRING,1.5,0,0.37
1.959984899,0.020526491,-5.958750248,0,-0.059120119,4.304247856,SPRING,1.5,0,0.37
1.979984879,0.019872064,-6.090000153,0,-0.009576015,4.304247856,SPRING,1.5,0,0.37
1.99998486,0.018609276,-6.125,0,0.005268112,4.302636623,SPRING,1.5,0,0.37
2.019984961,0.019009747,-6.090000153,0,-0.008282539,4.304247856,SPRING,1.5,0,0.37
