time,roll_angle,roll_rate,setpoint,u_cmd,battery_voltage,model,Kp,Ki,Kd
0.16000710427761078,0.005633920896798372,-5.84499979019165,0.0,-0.03375411778688431,4.297802925109863,SPRING,0.57,0.05,0.2
0.17997509241104126,0.004982013255357742,-5.888750076293945,0.0,-0.024637455120682716,4.297802925109863,SPRING,0.57,0.05,0.2
0.2000070959329605,0.0073355454951524734,-5.880000114440918,0.0,-0.027736296877264977,4.294579982757568,SPRING,0.57,0.05,0.2
0.21997509896755219,0.009061864577233791,-5.766250133514404,0.0,-0.05147935822606087,4.296191215515137,SPRING,0.57,0.05,0.2
0.24000710248947144,0.0016483294311910868,-6.763750076293945,0.0,0.1522447019815445,4.231738090515137,SPRING,0.57,0.05,0.2
0.2599751055240631,-2.6948018074035645,-154.92750549316406,0.0,31.324668884277344,4.294579982757568,SPRING,0.57,0.05,0.2
0.28000709414482117,-0.4907773435115814,-5.136250019073486,0.0,0.1106128841638565,4.297802925109863,SPRING,0.57,0.05,0.2
0.29997509717941284,-0.3480396270751953,169.3212432861328,0.0,-34.86189651489258,4.296191215515137,SPRING,0.57,0.05,0.2
0.3200070858001709,-1.6315281391143799,-120.76750183105469,0.0,23.88907241821289,4.296191215515137,SPRING,0.57,0.05,0.2
0.3399750888347626,-0.6878395080566406,-53.313751220703125,0.0,9.861105918884277,4.296191215515137,SPRING,0.57,0.05,0.2
0.360007107257843,-0.05785004794597626,106.04124450683594,0.0,-22.368928909301758,4.296191215515137,SPRING,0.57,0.05,0.2
0.3799751102924347,-0.645935595035553,-19.65250015258789,0.0,3.1056742668151855,4.297802925109863,SPRING,0.57,0.05,0.2
0.40000709891319275,-0.6821263432502747,-55.70249938964844,0.0,10.336984634399414,4.294579982757568,SPRING,0.57,0.05,0.2
0.4199751019477844,-0.38663363456726074,-4.409999847412109,0.0,-0.08955910801887512,4.296191215515137,SPRING,0.57,0.05,0.2
0.4400070905685425,-0.15909792482852936,7.682499408721924,0.0,-2.6375951766967773,4.294579982757568,SPRING,0.57,0.05,0.2
0.45997509360313416,-0.4414096176624298,-20.142499923706055,0.0,3.08876371383667,4.296191215515137,SPRING,0.57,0.05,0.2
0.4800071120262146,-0.3772207498550415,-17.31624984741211,0.0,2.4873032569885254,4.294579982757568,SPRING,0.57,0.05,0.2
0.4999750852584839,0.21779818832874298,48.125,0.0,-10.940325736999512,4.296191215515137,SPRING,0.57,0.05,0.2
0.5200070738792419,-0.0047354381531476974,-27.317501068115234,0.0,4.275023937225342,4.297802925109863,SPRING,0.57,0.05,0.2
0.539975106716156,0.09782365709543228,-23.344999313354492,0.0,3.421967029571533,4.297802925109863,SPRING,0.57,0.05,0.2
0.5600070953369141,0.2597047686576843,9.22249984741211,0.0,-3.1840648651123047,4.294579982757568,SPRING,0.57,0.05,0.2
0.5799750685691833,0.7421120405197144,-7.673749923706055,0.0,-0.08052908629179001,4.296191215515137,SPRING,0.57,0.05,0.2
0.6000071167945862,0.7698079943656921,17.858749389648438,0.0,-5.203585624694824,4.294579982757568,SPRING,0.57,0.05,0.2
0.6199750900268555,0.6686667799949646,-2.7387499809265137,0.0,-1.0271037817001343,4.294579982757568,SPRING,0.57,0.05,0.2
0.6400070786476135,0.6443440914154053,-11.130000114440918,0.0,0.6643658876419067,4.296191215515137,SPRING,0.57,0.05,0.2
0.6599751114845276,0.6710301637649536,-10.053750038146973,0.0,0.43323376774787903,4.296191215515137,SPRING,0.57,0.05,0.2
0.6800071001052856,0.6868804097175598,-6.693749904632568,0.0,-0.24848778545856476,4.297802925109863,SPRING,0.57,0.05,0.2
0.6999750733375549,1.0890858173370361,17.850000381469727,0.0,-5.387584209442139,4.297802925109863,SPRING,0.57,0.05,0.2
0.7200071215629578,0.7059405446052551,-25.5674991607666,0.0,3.5136027336120605,4.297802925109863,SPRING,0.57,0.05,0.2
0.739975094795227,0.7973920106887817,-8.119999885559082,0.0,-0.02882182039320469,4.297802925109863,SPRING,0.57,0.05,0.2
0.7600070834159851,0.8223327398300171,-0.09624999761581421,0.0,-1.6486103534698486,4.296191215515137,SPRING,0.57,0.05,0.2
0.7799751162528992,0.8106635212898254,-1.4524999856948853,0.0,-1.3715195655822754,4.296191215515137,SPRING,0.57,0.05,0.2
0.8000071048736572,0.7980784177780151,-4.777500152587891,0.0,-0.7001441121101379,4.294579982757568,SPRING,0.57,0.05,0.2
0.8199750781059265,0.7949485778808594,-6.291250228881836,0.0,-0.39640501141548157,4.296191215515137,SPRING,0.57,0.05,0.2
0.8400071263313293,0.7949463725090027,-6.510000228881836,0.0,-0.3534487187862396,4.296191215515137,SPRING,0.57,0.05,0.2
0.8599750995635986,0.7990051507949829,-6.133749961853027,0.0,-0.43181127309799194,4.297802925109863,SPRING,0.57,0.05,0.2
0.8800070881843567,0.8010996580123901,-5.923749923706055,0.0,-0.47580623626708984,4.294579982757568,SPRING,0.57,0.05,0.2
0.8999751210212708,0.8010058999061584,-6.028749942779541,0.0,-0.45555379986763,4.297802925109863,SPRING,0.57,0.05,0.2
0.9200071096420288,0.8027175068855286,-5.792500019073486,0.0,-0.5045821070671082,4.294579982757568,SPRING,0.57,0.05,0.2
0.9399750828742981,0.8240320086479187,-3.596250057220459,0.0,-0.956805408000946,4.296191215515137,SPRING,0.57,0.05,0.2
0.9600070714950562,0.7977656126022339,-10.4037504196167,0.0,0.418868750333786,4.297802925109863,SPRING,0.57,0.05,0.2
0.9799751043319702,0.7893896698951721,-2.40625,0.0,-1.1766464710235596,4.294579982757568,SPRING,0.57,0.05,0.2
